species,NC_128,NC_134,NC_136,NC_137,NC_138,NC_139,NC_140,NC_143,NC_144,NC_145,NC_146,NC_147,NC_148,NC_149,NC_150,NC_151,NC_152,NC_153,NC_154,NC_155,NC_156,NC_157,NC_158,NC_159,NC_160,NC_161,NC_162,NC_163,NC_164,NC_165,NC_166,NC_167,NC_168,NC_169,NC_173,NC_174,NC_176,NC_177,NC_180,NC_181,NC_182,NC_183,NC_184,NC_185,NC_186,NC_199,NC_200,NC_201,NC_202,NC_204,NC_205,NC_206,NC_207,NC_209,NC_210,NC_214,NC_218,NC_219,NC_220,NC_224,NC_225,NC_241,SLE_1,SLE_100,SLE_106,SLE_11,SLE_113,SLE_117,SLE_119,SLE_12,SLE_120,SLE_121,SLE_122,SLE_125,SLE_129,SLE_131,SLE_132,SLE_170,SLE_171,SLE_172,SLE_175,SLE_178,SLE_179,SLE_18,SLE_189,SLE_19,SLE_191,SLE_192,SLE_193,SLE_195,SLE_196,SLE_197,SLE_198,SLE_2,SLE_212,SLE_213,SLE_215,SLE_216,SLE_226,SLE_227,SLE_228,SLE_229,SLE_23,SLE_232,SLE_234,SLE_235,SLE_24,SLE_243,SLE_244,SLE_247,SLE_248,SLE_249,SLE_250,SLE_251,SLE_252,SLE_253,SLE_254,SLE_255,SLE_256,SLE_257,SLE_26,SLE_266,SLE_267,SLE_269,SLE_27,SLE_271,SLE_272,SLE_273,SLE_276,SLE_277,SLE_278,SLE_279,SLE_280,SLE_281,SLE_37,SLE_39,SLE_40,SLE_45,SLE_48,SLE_50,SLE_52,SLE_53,SLE_54,SLE_56,SLE_59,SLE_6,SLE_62,SLE_63,SLE_69,SLE_7,SLE_71,SLE_72,SLE_75,SLE_78,SLE_80,SLE_82,SLE_83,SLE_84,SLE_85,SLE_87,SLE_89,SLE_91,SLE_92,SLE_95,SLE_99
Faecalibacterium sp. CAG:74_58_120,0.005055761,0,0,0.000170303,0,0,0,0.000651532,0,0,0.000333072,0,0,0,0,0,0,0,0,0,0.000474061,0.006795072,0,0,0,0.000121585,8.35E-05,0.003719551,0,0.000189327,0.004564186,0,0,0.002970437,0,0,9.26E-05,0,0,0,0.000118864,0,0.000116092,0.004359996,0.000102732,0.002474959,0,0,0,0,0.000119159,0,0,0.000255944,0.000206333,0,0,0.000100562,0.000112978,0,8.35E-05,0.000958966,0.000135238,0,0,0,0,0,0.000248477,0.00033963,0,0.000146322,0,0,0.000123762,7.33E-05,0,0,0,0,0,0,0,8.93E-05,0,0.000102407,0,0.000164726,0.000115851,0,0.004196508,0.000110393,0,0.000139637,0.000162369,0,0,0.000129679,0.000131453,0,0.000240945,0,0.00123282,0,0.000133427,0.003844847,0.000123504,0,0.000134175,0,0.000394388,0,0,0,0,0,0.000128346,0.000166788,0,0,0,0,0,0,0,0,0.00033462,0,0,0,0,0,0,0,0.000242392,7.19E-05,0,0,0,0,0,0,0,0,0.00384698,0.000115542,0.000225049,0,0,0,0,0,0.000170684,0,0,0,0,0,0.001113774,0.000102985,0.001928187,0,0.000387681,0,0
Flavonifractor plautii,0.000354686,0.000390018,0,0.001926477,0.000431969,0.000877002,0.000595396,0.001118994,0.000783098,0.002801412,0.000572132,0.000477742,0.001754978,0.000696431,0.00078656,0.000870667,0.001290774,0.000361382,0.0014287,0.000247065,0.000237357,0.000315122,0.001197185,0,0.000882094,0.000819563,0.000497716,0.00046274,0.000450694,0.000370094,0.000174866,0.001670955,0.000409696,0.000491348,0.000439353,0.000905151,0.000504418,0.000471037,0.002169616,0,0.000209146,0.001331248,0.00029123,0.000275958,0.00051398,0,0.000239612,0.001537089,0.000230026,0.000994337,0.000610214,0.000348309,0.002968571,0.000145445,0.0015795,0.000328917,0.000392159,0.000373077,0.000228694,0.00124694,0.000194708,0,0.001100622,0.001841358,0.000709702,0.000208728,0.000697015,0.00135814,0.000393204,0.000422696,0.000766649,0.000611926,0.000921181,0.000245338,0.00064947,0.000244276,0.001525579,0.001526352,0.00076055,0.000866346,0.00057849,0.001429368,0.000983674,0.000605679,0.000567293,0.00016217,0.000967096,0.000376012,0.00098979,0.000386598,0.000427275,0.000621421,0.00066869,0.000702315,0.000771612,0.001106378,0.000900556,0.000491897,0.000682419,0.002213532,0.000947146,0.001772682,0.000307921,0.002080007,0.000586094,0.000241121,0.001047188,0.001583566,0.00098852,0.000539779,0.00157997,0.000532658,0.000876734,0.000858954,0.001703773,0.000110899,0.001662516,0.00041792,7.28E-05,0.001413636,0.000609339,0.001829611,0.000578831,0.000196518,0.000267363,0.001396243,0.001432137,0.001638731,0.000787326,0,0,0.000615954,0.001258785,0.001824017,0.00083471,0.000771085,0.000943373,0.001049058,0.001356298,0.000218801,0.000298354,0.000930342,0.000857118,0.000491029,0.000182736,0.000161371,0.000506372,0.000598342,0.003062023,0.002512782,0,0.001905597,0.001815521,0.000401799,0.003690308,0.000881482,0.000457508,0.00058358,0,0.000221822,0.001046848,0.000361455,0.000458251,0.000223908,0.000922798
Fusicatenibacter saccharivorans,0.000875136,0.000105757,0,0.001443226,0.00082255,0.000805962,0.00080104,0.000596128,0.00077568,0.000406227,0.00176936,0.000702407,0.000653389,0.000291314,0.00183117,0.000225434,0,0.000309023,0,0.000872987,0.00025669,0.000670669,0.000608359,0.000448277,0.000552676,0.0002218,0.000895664,0.000374971,0.002880414,0.000639953,0.001592515,0.000290786,0.001428713,0.000857671,0.001900571,0.00024505,0.000763845,0.000705891,0.000872435,0.001356007,0.000465195,0.001680034,0.000676559,0.000705277,0.000566991,0.001626348,0.000326774,0.001007272,0.002307023,0.000174214,0.000653298,0.001487915,0.000260138,0.000899097,0.001449318,0.000189333,0.000700703,0.000559557,0.001707528,0.000114148,0.000258783,0.000467648,0.000810806,0.000412369,0.001468626,0.000513589,0.000866203,0.000189742,0.001602153,0.000848942,0.000212825,0.001405016,0.002119017,0.001291067,0.001108165,0.000992858,0.0016926,0.000772125,0.002086318,0.00081367,0.00040328,0.004110471,0.001206621,0.000620759,0.000461566,0.000854887,0.001432934,0.00079417,0.001108147,0.00181831,0.000630623,0.000970691,0.000165085,0.00217435,0.001981775,0.000578532,0.000342338,0.00121898,0.000679992,0.000818577,0.000976932,0.001104859,0.001116701,0.000908217,0.00058455,0.000338429,0.000775725,0.001412975,0.001671649,0.000241361,0,0.001366716,0.002253961,0.000760508,0.000871631,0.001773282,0.001677009,0.000584567,0.000341027,0.000569658,0,0.000793557,0,0.001286411,0.001473429,0.001406789,0.000926436,0.000532302,0.001298939,0,0.003866146,0.00045453,0.00045329,0.000406701,0.001439612,0.000956361,0.000831481,0.000474502,0.000412725,0.000614389,0.001442306,0.001365174,0.001266572,0.001840297,0.000813106,0.000759597,0.00094286,0.000688524,0.000617787,0.000434599,0,0.000286928,0.001321304,0.001676716,0,0.002283315,0.001275498,0.000657287,0.000712383,0.001791312,0.001402906,0.002118228,0.002731624,0.000321805,0
Intestinibacter bartlettii,5.78E-05,0,0,0.001087676,0.001749891,0,0.000119441,0.000215269,0.001074861,0.001871667,0.000560684,0,0.000742782,0.000322135,0.000108683,0.000565989,0,0,0,0,0.000412945,0.001175895,0.000185515,0,0.000564245,0.000472314,0.000658383,0.0006321,0.000328897,7.21E-05,0.001526384,0.000511315,0.000142361,0.000308541,0.000340113,0.001396649,0,5.25E-05,0.001196247,0.000325296,0.001171448,0.000173922,0.000201041,0.00017374,0,0.001320343,0,7.33E-05,0.001019751,0.001141336,0.00018033,0.001448295,0.000232807,0.000206824,5.54E-05,0.00015559,6.09E-05,0.00029896,0.001392097,0.000667763,0.000977178,0.000138953,0.000432344,0.000964346,0.000913701,0,0.000580885,0.001301027,0.000238584,0.000150983,0.001817365,0.001674957,0.000391821,0.000365187,0.000139449,0,0.00075738,0,0,0.001351182,0.000605183,0.000481745,0.000164421,0.00057334,0.000243466,0.000636272,0.001006055,0.000684784,0.001538919,0.000177431,0.000343027,0,0.002257104,0.00101549,0.000195479,0,0.003703712,0.000281699,0.001826919,0.0005352,7.96E-05,0,7.60E-05,0,0,6.73E-05,0.000918269,0.000217638,0.001723729,0.000524694,0.000452141,0,0.001694024,0,0.000407442,6.79E-05,0.00017609,0.001387155,0.000313967,0.001063251,0.00211744,0.000332885,0.000487105,0.000994239,0.000820593,0.001320603,0.000156844,0.000220857,0.000111995,0,0.000301095,8.42E-05,0.000153582,0,7.79E-05,4.27E-05,0.000828402,0.000217265,0.000140199,8.85E-05,0.000934424,6.00E-05,0.001247337,0.000938809,0.000800542,0.000462224,0,0.001006614,0.001247716,0.001806216,0,0.001776987,0.002042545,0.000909157,0,0.000284226,0,0.00061589,0,0.000509789,0.00059116,0.001190559,0.001224501,8.58E-05,0.000612702
Klebsiella pneumoniae,0.00037047,0.006047265,0.001017686,0.001168646,0.010898061,0.000963667,0.002024168,0.001197909,0.000422736,0.001224279,0.000622867,0.002705957,0.000707969,0.000482797,0.000355603,0.004104789,0.001302408,0.003492409,0.002911922,0.007466784,0.000430318,0.000831838,0.002747565,0.001374648,0.001418298,0.000347377,0.001248698,0.000605115,0.001029096,0.000113109,0.003335097,0.000701519,0.000454039,0.002395212,0.000541936,0.007697944,0.001141865,0.000284906,0.001023808,0.008202922,0.000742817,0.002193569,0.00077517,0.001285554,0.001136029,0.00342923,0.002159099,0.000689094,0.00200639,0.000516706,0.000647098,0.000151526,0.003796367,0.001223013,0.000349764,0.000577506,0.000263759,0.001077966,0.001115027,0.003865248,0.001273056,0.001049336,0.001534526,0.003018917,0.001354175,0.000335884,0.000763074,0.003037536,0.003963202,0.00033976,0.000918183,0.00199545,0.002526885,0.000394835,0.000361564,0.000667744,0.002371159,0.000547725,0.000737415,0.001115934,0.00365181,0.001406517,0.001427198,0.003735434,0.001233054,0.008242846,0.002612329,0.003573036,0.00129278,0.000610387,0.001289349,0.000292131,0.00150692,0.000997881,0.001102847,0.001330061,0.002985461,0.000652677,0.003399208,0.003037562,0.000900507,0.000856519,0.000412127,0.009658613,0.011669736,0.003187734,0.003907816,0.000802643,0.000637915,0.000782401,0.001172743,0.000867412,0.000282311,0.001273591,0.000637393,0.000174958,0.000546941,0.000529413,0.001268447,0.008483985,0.003570233,0.005449856,0.002960638,0.000996942,0.000431328,0.000931704,0.001483708,0.001703757,0.00053071,0.001809437,0.000692972,0.000724139,0.002124313,0.00094592,0.001313549,0.001635218,0.003359101,0.000897643,0.007254237,0.000524666,0.001270991,0.000390914,0.011759276,0.000237896,0.003651618,0.001459765,0.000491861,0.001599402,0.001345539,0.002900338,0.011111863,0.002579213,0.001438351,0.001247754,0.005272708,0.000719715,0.005699019,0.000693196,0.000975196,0.00062763,0.001419237,0.001494548,0.00074575,0.000269677,0.00610977
Lachnospira eligens,0.007955847,0.004910218,0.001634856,0.001163576,0.002547423,0.001954217,0.006378969,0.003688536,0.005401828,0.005898618,0.005152359,0.003826217,0.002528145,0.001337859,0.002748836,0.001722286,0.001351899,0.007305298,0.003545632,0.008092085,0.003835399,0.001822033,0.004098619,0.002096491,0.003032964,0.004457474,0.005660066,0.003530615,0.005512309,0.005220843,0.004603379,0.002899998,0.006146244,0.004892246,0.002917184,0.001460409,0.00399149,0.005232734,0.002555009,0.001516798,0.001491755,0.01012548,0.001920742,0.004845593,0.002006798,0.00264447,0.00227433,0.003480863,0.005212277,0.004470708,0.003155737,0.00261011,0.000980532,0.004966107,0.006192995,0.00224214,0.00693927,0.006179363,0.001863968,0.001056214,0.002890601,0.004245102,0.005763706,0.001865514,0.00514351,0.009443552,0.004883532,0.005569906,0.001741645,0.003246532,0.00811056,0.007137616,0.005181733,0.00898548,0.00234352,0.008377328,0.003413001,0.003342041,0.00650841,0.003780723,0.004999322,0.008097089,0.002170053,0.002062243,0.003720358,0.007633761,0.002328156,0.004970376,0.003831,0.014097278,0.008092345,0.00802594,0.003179573,0.002868177,0.003448164,0.001245782,0.00268475,0.006480506,0.005831962,0.0012228,0.002126278,0.005002358,0.006916495,0.001056186,0.003874532,0.002787625,0.002311111,0.006339532,0.003883027,0.001700949,0.000916445,0.00894242,0.009271249,0.002489908,0.00159594,0.001168549,0.002160396,0.008399686,0.003874851,0.002748792,0.00078221,0.006381702,0.003244825,0.00613774,0.001458653,0.004758501,0.001500934,0.004115091,0.00425587,0.003365638,0.004331907,0.006983194,0.001433308,0.001850225,0.002529523,0.004485488,0.001050631,0.004502398,0.00312336,0.003169919,0.009653686,0.006321288,0.002492431,0.008351327,0.006986551,0.003798416,0.000964579,0.006371415,0.001298647,0.003648826,0,0.007464763,0.005812671,0.005319751,0.002846015,0.001909706,0.000968661,0.008351423,0.003652413,0.012145236,0.006522661,0.001828702,0.004430151,0.001086332,0.001365168
Lachnospira pectinoschiza,0.000194932,0.000687639,0.000116263,0,0.000622008,0.000227063,0.000146628,0.00056658,0.000503091,0.001052846,0.000536897,0,0.000450993,0.000110348,0.000125458,0,0,0.000157035,0,0.000290581,0.000321967,0.000142064,0.000551712,0,0.000383741,0.001140378,0.000800007,0,0.00089946,7.97E-05,0.000941207,0.00044152,0,0,0.000311911,0.000304706,0.00018636,0.000247496,0.000126823,0,0.000107428,0,0.000201494,0.000623903,0.000261224,0.00016151,0,0.001110202,0.000404636,0.000286281,0.000573017,0.0001009,0.00016973,0.000103995,0,0,0.000351456,0.000100202,0.000328182,0,0.000557918,0.000306265,0.001507432,0.000128557,0,0.000336723,0.000237667,0.000300967,0.000273802,0.00023987,0.000479947,0.000411108,0.001000631,0.000940379,0.000359271,0.000905485,0,0.000319542,0.000544233,0.000271787,0.000779756,0,0.000421207,0.000376959,0,0.000584795,0,0.000733616,0.000618544,0.000515454,0.000863034,0.0001803,0.00057896,0.001044849,0.000913025,0,0.000657406,0.000593236,0.001303548,0,0.000207235,0.00024562,0.000545307,0,0.000267232,9.16E-05,0.000263185,0.002077831,0.000586969,0.000197734,0,0.000957268,0.001015979,0.000230329,0,0,0.000213874,0.000386338,0.000155342,0.000385995,0,0.000217969,0.000445124,0.00089487,0,0.000191923,0,0.000502359,0.000994103,0,0,0.000275705,0,0.000137494,0.000245239,0.000112841,0,0.00090553,0.00047613,0.000100118,0.000374964,0.000726656,0.000329965,0.000314784,0.000338007,0.000110676,0,0.000509974,0,0.000350779,0,0.001389702,0.00087497,0.001040426,0,0,0,0.001136168,8.33E-05,0.000937645,0.000108282,0,0.000415729,9.94E-05,0.000717758
Megamonas funiformis,0.000202115,0.001687645,0.003544973,0.000221101,0.001291337,0,0.000129616,0.001366929,0.000479348,0,0.000150039,0.005054004,0,0.000194569,0.000121819,0,0.000293677,0.001574148,0.000173266,0.000252682,0.000258528,0.003664965,0.000342297,0.000177707,0.000145901,0,0.000138479,0.000127149,0.005164495,0,8.63E-05,0.000498718,8.17E-05,0.00208856,0.000134281,0.000267431,0.00076662,6.67E-05,0,0.002731531,0,0,0.000115458,0.000199526,9.00E-05,0.002205784,0.003582804,0.003171464,0.00354674,9.78E-05,9.10E-05,8.72E-05,0.002457992,0.001575673,0.000101305,0,0.000150738,0,0.000108889,0.001744799,0.001116141,0.000398875,0.003849824,0.004053529,0,9.84E-05,0.003345057,0.000163227,0.000116068,0.002072095,0.003533289,0,0.000139173,0,0.00304761,0.001921005,0.000340837,9.24E-05,0.000505742,8.61E-05,9.85E-05,0,0.004342456,0,0.000206322,0.000179208,0,0.001721374,0.000738581,0,0.000568636,0.000201342,0.002039289,0.000158204,0,0.000224051,0,0.000114556,0.000244879,0.00018236,7.92E-05,0,8.88E-05,0,0.000135334,0.00015986,0.00401685,0,0.000103125,0.000114886,0.004668692,0.001551525,0.000251198,0.004838005,0,8.73E-05,0.000106895,0,0.000988389,0.000173024,0,0.000233406,0,0.002068425,0.000126849,0,0,0.000250124,0.003588549,0,0.000174474,0,0.00037645,0.004072652,7.15E-05,0.000135666,9.83E-05,0.000111459,0.000282219,0.000112385,8.12E-05,9.00E-05,0.000190675,0.001111785,0,0.002131805,0.003087988,0,0,0.000220456,0.003415778,0.000137577,0,0,0.003992674,0.0025403,0.00097808,0.000225226,9.60E-05,0.002597556,0,0.000292113,0.000195361,0.000186221,0
Megamonas hypermegale,0.000376143,0.006326476,0.009442962,0.001060192,0.005741664,0.000558989,0.000689177,0.006609374,0.00135592,0.000676371,0.00073301,0.015637084,0.000618065,0.000632102,0.000497239,0.000333673,0.000326922,0.005721408,0.000919146,0.000286045,0.000292699,0.008412623,0.000698347,0.000583211,0.000689477,0.000514178,0.000235306,0.000405856,0.011783,0.000495091,0.000708419,0.000512713,0.000338607,0.007038059,0.000539019,0.000368603,0.003807805,0.000490023,0.000537741,0.010909865,0.000483907,0.000627019,0.000440804,0.000429279,0.000592247,0.008232022,0.012168098,0.007115959,0.012321255,0.000389286,0.000520152,0.000538516,0.007956533,0.006527841,0.000434256,0.001575342,0.000535212,0.000749543,0.000574451,0.004773288,0.004140551,0.003550954,0.009034279,0.009035121,0.000320364,0.000604725,0.008669462,0.000673881,0.000863259,0.005424648,0.011200107,0.000276472,0.000491987,0.000754525,0.006733081,0.005100114,0.002140898,0.000254568,0.000984862,0.000577955,0.000495363,0.000735282,0.010892686,0.000554314,0.000386363,0.000790348,0.001013126,0.007146764,0.003842002,0.000529328,0.004304321,0.000669658,0.00815985,0.00081063,0.00055267,0.000198457,0,0.00070257,0.000519458,0.000715507,0.000617893,0.000336679,0.000525121,0.000711688,0.000460482,0.000677962,0.009025643,0.001042168,0.000483128,0.00019056,0.013533279,0.008232351,0.001813142,0.016326841,0.000918388,0.000598833,0.00034989,0.000458878,0.004412211,0.000627662,0.000574305,0.000643121,0.000918973,0.007325229,0.00189173,0.000392622,0.000714286,0.000488771,0.008780179,0.002676977,0.000870014,0.000410465,0.002581298,0.011386572,0.000548402,0.000440861,0.000385943,0.000690043,0.000510553,0.000524142,0.000388244,0.00042226,0.000353075,0.004224154,0.000448162,0.005042123,0.007739167,0.000605113,0.001417583,0.001860234,0.007269948,0.000410482,0.000536344,0.000803412,0.004926858,0.007266854,0.003182287,0.000410938,0.000443754,0.007224819,0.000581932,0.00073948,0.001025109,0.000727,0
Negativibacillus massiliensis,0.000215784,0.000293429,0,0.000160904,0.000244358,0.000928152,0.000321891,0.000835813,0.001273249,0.002012561,0.000204061,0.000275766,0.000160282,0.001554174,0.001048745,0.000410709,0.000239918,0.001209299,0.000177756,0.000277301,0.000193693,0.000152535,0,0.000883126,0.0002718,0.000284272,0.000182526,0.000141335,0.000229473,0.000253089,0.000497027,0.000374991,0.000187349,0.000265849,0.000341149,0.000308245,0.000768297,7.30E-05,0.000296656,0.000293138,0.000290365,0.000237916,0,0.00083363,0.000477666,0.00071421,0.000301554,0.000108539,0.000272891,0.000142137,0.00124225,0.000287118,0.000210275,0.00013637,0.000100605,0,0.000570317,0.000950136,0.000237909,0.000579286,0.000388271,0.000634432,0.000251072,0.000201174,0.000449102,9.93E-05,0.000301734,0.000355564,0.000174098,0.000311592,0.000286212,0.00034818,0.000434021,0.000404756,0.000196444,0.001112332,0.000926182,0.000285059,0.000326847,0.001356353,0.000252844,0.000397027,0.000221914,0.000286619,0.000149481,0.000228107,0.000232577,0.00031855,0.00025501,0.000480542,0.000338096,0.000264366,0.000267572,0.000389718,0.000213391,0.000491985,0.001030896,0.000135394,0.000180755,0.000720499,0.000358025,0.00193754,0.000411464,0.000191692,0.000374915,0,0.000209271,0.000615322,0.000269932,0.000122486,0.000239858,0,0.000285626,0.000367039,0.000321882,0.000106302,0.000254448,0.000857586,0,0.000244308,0.000314065,0.000957857,0,0.000386617,0.000671582,0.000269425,0.000382765,0.00102256,0.000160892,0,0.000312942,0.000116202,0.000199666,0.000180126,0.00030867,0.000120546,0.000264172,0,0.000150016,0.000972401,0.000253655,0.001269386,0.000275892,0.000271075,0.000635133,6.31E-05,0.000290082,0.000221868,0.000362874,0.000136878,0,0.000396204,0.000473975,0.000326652,0.001550793,0.000295778,0.000292638,0.000235883,0.000242764,0.000146926,0.000179884,0.00034986,0.000245757,0.000145043,0
Oscillibacter sp. 57_20,0.000855987,0.000123431,0.000131311,0.000180528,9.87E-05,0.000241806,0.000284111,0.001072033,0,0,0.000275821,0,0.000134704,0.000199321,0.000478641,0,0,0,0.000833566,0,0.000561881,0.000453562,0.000405065,0,0.000488222,0.000317288,7.94E-05,0.001220002,0,0.000884673,0.000329505,0,0.000565664,0.000962615,0.000150665,0,0.000246076,0.000730641,0,0,0.000492125,0,0.000440227,0.001204113,0.000175253,0.00035004,0.000323048,0.000330518,0,0,0.000618083,0.000500114,0.00017104,0.000330756,0.000321139,0.000401288,0.000925824,0.000374974,0.000610749,0.00012052,0.000915474,0.001779212,0,0,0,0.000306138,0,0.000178884,0.000102653,0.000293688,0.000774431,0,0.000171838,0.000293293,0.000629416,0.000153015,0,0.000521526,0.000256215,0.000300642,9.40E-05,0.00034554,0.000163331,0.000273883,0.000152808,0.000376395,0.000161474,0.000210895,0.00028022,0,0.000689774,0.000360023,0,0,0,0,0.000445956,0.001002301,0,0,0.000739538,0.000278329,0.000809162,0.000200466,0,0.001028156,0,0.00022952,0.00032422,0.000346673,0.000196717,0.000210772,0.000276569,0.000223074,0.000100548,0.00088517,0,0.001356819,0.000541102,0,0,0.000354432,0.000331118,0.000564981,9.61E-05,0.000189966,0,0.00012828,0,0,0.000246657,0.000114901,0.000182164,0.000502547,0.000241119,0.00017644,0.000926358,0,0.000370778,0.001367396,0.000505913,8.18E-05,0.00017858,0.000111519,0.00081051,0.000479441,0.000225691,7.27E-05,0,0.00014149,0,0,0,0,0,0.000169629,0.000259868,0.000144657,0,0.000268699,0,0,0.000138694,0.000753464,0
Oscillibacter sp. CAG:241_62_21,0.000710332,0,0,0.000172429,0,8.95E-05,0,0.000238469,0.000202881,0.000331944,0,0,0.000166148,0.00052038,0.001051523,0,0.000428342,0.000262645,0.00059601,0,0.00029812,0.00012919,0.000119706,0,0,0,0.00016296,0.000238202,0,8.49E-05,0.000607699,0,8.96E-05,0.000412874,0.000114168,0,0.000268515,0.001061439,0.000168371,0,0.000204199,0,0.000519404,0.001202062,0.00020406,0.000456688,0,0,0,0,0.000339058,0.000101407,0.000171057,0.000424186,0,0.001372433,0.000449176,0.000305969,0.001075422,0,0.000669303,0.000966021,0,0,0,0,0.000247701,0.000168473,0.000629433,0.000203719,0,0.000132968,0,9.07E-05,0.000507974,0.000732619,0.00041941,0.000225951,0.000257362,0.000459391,0.000468005,0,0.000189562,0.000258172,0,0.000337582,0.000224021,0,0.000936496,0.00019814,0.000807679,0.000656819,0,0.000184409,0.000116114,0,0.000444421,0.000226083,0.000185076,0.000486769,0.00062275,0,0.000646943,0.000155234,0,0.000970841,0.000342745,0.000451082,6.47E-05,0.001226125,0,0,0.000118233,0,0,0.001503221,0.000122115,0.002096982,0.000530249,8.54E-05,0,0.000100176,0,0.000173248,0.000364993,0.000111532,0.00011622,0.000124407,0.000101899,0,0,8.17E-05,0.000143075,0.000138232,0.000177354,0.000496816,9.06E-05,0,0.000372011,0.000565777,0,0.000181278,0.000227315,0,0.000635269,0.000972412,0.000453157,0.000314311,0.000341218,0.000110893,0,0.000247407,0.000139761,0.000297392,0.001359488,0,0,7.41E-05,9.59E-05,0,0.000105735,0.000126991,0.000197243,0.000633366,0
Oscillibacter sp. ER4,0.001070018,0.00026667,0,0.000168908,0.000249785,0.000731457,0.000171894,0.001013241,0.000317298,0.000305613,0.000324256,0.000280413,0.000323837,0.000776312,0.000155626,0.000398976,0.000411733,0.000207728,0.001787069,0.000372848,0.000993776,0.000406667,0.001102278,0.000927178,0.000273123,0.000177689,0.000147961,0.000122704,0.000227776,0.000669304,0.000211825,0.000231315,0,0.00096785,0.000211889,0.000296032,0.000308677,0.000963132,0.000195617,0.000261256,0.000530323,0.000217321,0.001243519,0.000824332,0,0.000537452,0,0.000186336,0.000238523,0.000144478,0.001102013,0.000294138,0.000159464,0.001075209,9.63E-05,0.002192947,0.000151879,0.000308785,0.001074691,0.0005571,0.000523481,0.00124366,0.000251067,0.000503713,0.000814495,0,0.000302907,0,0.000614353,0.000741655,0.000235941,0.000436438,0.000232947,0.000218221,7.70E-05,0.00017504,0.000567403,0.001202649,0.000640037,0.000420466,0.000108447,0,0.000174931,0.000162407,0.000134029,0,0.000232265,0.000416991,0.000595304,0.000191684,0.001555473,0.000955845,0.000249485,0.000441571,0.000669416,0.000272537,0,0.000129263,0,0.000228816,0.000700292,0.000247746,0.000829481,0,0.000205691,0.000841322,0.000332365,0.000294864,0.000260728,0.000120996,0.000463174,0,0.000265919,0,0,0.000821765,0.000139978,0.001705068,0.000832272,0.000361216,0.000302878,0.00113622,0,0.000597989,0.000991141,0.000364757,0,0.000141459,0,0,0,0,0,0.000889859,0.000186434,0.000460099,0.000114203,0.000163354,0.000131453,0.001088014,0.000213158,0.000255797,0.00025742,0.000203091,0.000770556,0.001073944,0.001200884,0.00010915,0.002810223,0.00039355,0.002456352,0.000239946,0.000184737,0.000175635,0,0.000274896,0.000175691,0.000206022,0.000361302,0.000257428,0.00013724,0.00014869,0.000449427,0.000933659,0.000989374
Parabacteroides distasonis,0.000384244,0.000742688,0.000112235,0.001069934,0.000829085,0.000332421,0.000125819,0.000474983,0.001109717,0.000583088,0.002134367,0.000420459,0.000299471,0.00089337,8.98E-05,0.00051469,0.000161486,0.000529991,0.0015006,0.000702527,0.000253809,0,0.001057549,0,0.000579187,0.000383273,0.00037085,0.001045391,0,0.000242272,0.000341195,0.003092344,0.000243271,0.00061982,0.000393344,0.001760547,0.000967922,0.000146521,0.00027733,0.000163888,8.55E-05,0.001914961,0.000311445,0.000700007,0.001197844,0,0.000387504,0.000797533,0.000252403,0.000344868,0.000991005,0.000370571,0.002571179,0.000100375,0.001015026,0.0005625,0.001200688,0.000202309,0.000549097,0.001372545,0.000369767,0,0.000320025,0.001475914,0.000230903,0.000762342,0.0003651,0.001295211,0.000300884,0.001224256,7.77E-05,5.63E-05,0.000221113,7.87E-05,0.000485499,0.000816819,0.00195819,0.000713423,0.001807409,0.001113292,0.000952787,0.000238882,0.000118803,0.001278559,0.000627719,0.000414213,0.00038182,0,0.000287187,0.000209895,0.000829215,0.001038232,0.000210364,0.000593884,0,0.002318694,0,0.000540986,0.000690674,0.00040499,0.001168973,0.000675516,0.000539253,0.000169579,0.000100877,0.00056975,0.001284653,0.000859549,0.000310122,0.000299048,0.002208109,0.000296993,0.000259062,0.001188019,0.000513214,0.000190312,0.000426891,0.000135621,0.000266764,0.001015694,0.000383867,0.000942445,0.000486626,0.000138189,0.000238643,0.000739519,0.000906262,0.000520831,8.97E-05,0.001376468,0.000211403,0.000919831,0.001481828,0.000930906,0.000441603,0.000406319,0.001142295,0.001022244,0.000681825,0.000403657,0.000339991,0.000779429,0.000448327,0,0.00029527,0.000108444,0.000757429,0.000559051,0.001686351,0.001157907,0,0.001920326,0.000370311,0.000667587,0.001363742,0,0.000458675,0.000933093,0.000457889,0.000176702,0.001463503,0.000280504,0.000743748,8.46E-05,0
